,Surroundings,Inventory,Action,Response,Reward,Reward_Type,Score,Moves,Total_Moves
1782,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are carrying a bird's nest a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary,you are carrying a bird's nest a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary,pour trees in nest,you can't see any trees here,-1.0,,-43.5,246,1782
1783,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are carrying a bird's nest a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary,you are carrying a bird's nest a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary,feel door,you can't see any door here,-1.0,,-44.5,247,1783
1784,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are carrying a bird's nest a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary,you are carrying a bird's nest a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary,move door,you can't see any door here,-1.0,,-45.5,248,1784
1785,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are carrying a bird's nest a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary,you are carrying a bird's nest a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary,leave nest,dropped,2.5, inventory score (you are carrying a bird's nest a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary --- you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary) - moved around - ,-43.0,249,1785
1786,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees there is a bird's nest here you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary,make nest,you can't do that,-1.0,,-44.0,250,1786
1787,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees there is a bird's nest here you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary,give path to door,you don't have the way,-1.0,,-45.0,251,1787
1788,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees there is a bird's nest here you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary,pour egg from trees,you can't see any trees here,-1.0,,-46.0,252,1788
1789,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees there is a bird's nest here you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary,play bird,you can't see any bird here,-1.0,,-47.0,253,1789
1790,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees there is a bird's nest here you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary,read path with door,you can't see any door here,-1.0,,-48.0,254,1790
1791,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees there is a bird's nest here you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary,pull path,you can't move the way,-1.0,,-49.0,255,1791
1792,west of house you are standing in an open field west of a white house with a boarded front door there is a small mailbox here you are empty-handed,you are empty-handed,hide house on door,you don't have the white house,-1.0,,-1.0,0,1792
1793,west of house you are standing in an open field west of a white house with a boarded front door there is a small mailbox here you are empty-handed,you are empty-handed,go southeast,,1.5, new area score ---south of house you are facing the south side of a white house there is no door here and all the windows are boarded south of house score 0 moves 6 south of house you are facing the south side of a white house there is no door here and all the windows are boarded you are empty-handed - moved around - ,0.5,1,1793
1794,south of house you are facing the south side of a white house there is no door here and all the windows are boarded you are empty-handed,you are empty-handed,go south,forest this is a dimly lit forest with large trees all around,1.5, new area score ---forest this is a dimly lit forest with large trees all around you are empty-handed - moved around - ,2.0,2,1794
1795,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest this is a forest with trees in all directions to the east there appears to be sunlight,1.5, new area score ---forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed - moved around - ,3.5,3,1795
1796,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go east,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path,1.5, new area score ---forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed - moved around - ,5.0,4,1796
1797,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,4.5,5,1797
1798,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go north,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves,1.5, new area score ---clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed - moved around - ,6.0,6,1798
1799,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go south,forest path,-0.5, - moved around - ,5.5,7,1799
1800,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,5.0,8,1800
1801,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go east,forest this is a dimly lit forest with large trees all around,-0.5, - moved around - ,4.5,9,1801
1802,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest path,-0.5, - moved around - ,4.0,10,1802
1803,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go east,forest,-0.5, - moved around - ,3.5,11,1803
1804,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest path,-0.5, - moved around - ,3.0,12,1804
1805,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,2.5,13,1805
1806,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,2.0,14,1806
1807,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,1.5,15,1807
1808,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go east,forest,-0.5, - moved around - ,1.0,16,1808
1809,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest path ,-0.5, - moved around - ,0.5,17,1809
1810,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go up,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach beside you on the branch is a small bird's nest in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile,1.5, new area score ---up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach beside you on the branch is a small bird's nest in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed - moved around - ,2.0,18,1810
1811,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach beside you on the branch is a small bird's nest in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed,you are empty-handed,read nest,taken how does one read a bird's nest ,4.5, inventory score (you are empty-handed --- you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg ) new area score ---up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg - moved around - ,6.5,19,1811
1812,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg ,go down,forest path,1.5, new area score ---forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg - moved around - ,8.0,20,1812
1813,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,go south,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees,1.5, new area score ---north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg - moved around - ,9.5,21,1813
1814,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,go east,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar,1.5, new area score ---behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg - moved around - ,11.0,22,1814
1815,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,fill bird with path,you can't see any bird here,-1.0,,10.0,23,1815
1816,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,leave nest,dropped,4.5, inventory score (you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg --- you are empty-handed) new area score ---behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar there is a bird's nest here in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed - moved around - ,14.5,24,1816
1817,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar there is a bird's nest here in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed,you are empty-handed,pick one with gold,there seems to be a noun missing in that sentence,-1.0,,13.5,25,1817
1818,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar there is a bird's nest here in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed,you are empty-handed,ask nest,you can't talk to the bird's nest,-1.0,,12.5,26,1818
1819,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar there is a bird's nest here in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed,you are empty-handed,carry bird from gold,those things aren't here,-1.0,,11.5,27,1819
1820,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar there is a bird's nest here in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed,you are empty-handed,fill gold with bird,those things aren't here,-1.0,,10.5,28,1820
1821,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar there is a bird's nest here in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed,you are empty-handed,read window,how does one read a kitchen window,-1.0,,9.5,29,1821
1822,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar there is a bird's nest here in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed,you are empty-handed,read one with nest,there seems to be a noun missing in that sentence,-1.0,,8.5,30,1822
1823,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar there is a bird's nest here in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed,you are empty-handed,go south,south of house,1.5, new area score ---south of house you are facing the south side of a white house there is no door here and all the windows are boarded you are empty-handed - moved around - ,10.0,31,1823
1824,south of house you are facing the south side of a white house there is no door here and all the windows are boarded you are empty-handed,you are empty-handed,move house in door,you don't have the white house,-1.0,,9.0,32,1824
1825,south of house you are facing the south side of a white house there is no door here and all the windows are boarded you are empty-handed,you are empty-handed,go northwest,west of house there is a small mailbox here,-0.5, - moved around - ,8.5,33,1825
1826,west of house you are standing in an open field west of a white house with a boarded front door there is a small mailbox here you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,8.0,34,1826
1827,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go east,forest path,-0.5, - moved around - ,7.5,35,1827
1828,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed ,go east,forest,-0.5, - moved around - ,7.0,36,1828
1829,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed ,unlock trees with forest,it doesn't seem to work,-1.0,,6.0,37,1829
1830,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest path,-0.5, - moved around - ,5.5,38,1830
1831,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,5.0,39,1831
1832,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go south,forest path,-0.5, - moved around - ,4.5,40,1832
1833,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go east,forest,-0.5, - moved around - ,4.0,41,1833
1834,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest path,-0.5, - moved around - ,3.5,42,1834
1835,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed ,go east,forest,-0.5, - moved around - ,3.0,43,1835
1836,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed ,go west,forest path,-0.5, - moved around - ,2.5,44,1836
1837,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,2.0,45,1837
1838,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go east,forest,-0.5, - moved around - ,1.5,46,1838
1839,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest path,-0.5, - moved around - ,1.0,47,1839
1840,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go east,forest,-0.5, - moved around - ,0.5,48,1840
1841,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed ,go west,forest path,-0.5, - moved around - ,0.0,49,1841
1842,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go east,forest,-0.5, - moved around - ,-0.5,50,1842
1843,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest path ,-0.5, - moved around - ,-1.0,51,1843
1844,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,-1.5,52,1844
1845,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go east,forest path,-0.5, - moved around - ,-2.0,53,1845
1846,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,-2.5,54,1846
1847,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,-3.0,55,1847
1848,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed ,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,-3.5,56,1848
1849,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,-4.0,57,1849
1850,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go east,forest path,-0.5, - moved around - ,-4.5,58,1850
1851,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go south,north of house,1.5, new area score ---north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed - moved around - ,-3.0,59,1851
1852,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed,you are empty-handed,go southwest,west of house there is a small mailbox here,-0.5, - moved around - ,-3.5,60,1852
1853,west of house you are standing in an open field west of a white house with a boarded front door there is a small mailbox here you are empty-handed,you are empty-handed,go south,south of house,-0.5, - moved around - ,-4.0,61,1853
1854,south of house you are facing the south side of a white house there is no door here and all the windows are boarded you are empty-handed,you are empty-handed,go west,west of house there is a small mailbox here,-0.5, - moved around - ,-4.5,62,1854
1855,west of house you are standing in an open field west of a white house with a boarded front door there is a small mailbox here you are empty-handed,you are empty-handed,go north,north of house,-0.5, - moved around - ,-5.0,63,1855
1856,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed,you are empty-handed,go north,forest path ,-0.5, - moved around - ,-5.5,64,1856
1857,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed ,go west,forest,-0.5, - moved around - ,-6.0,65,1857
1858,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go south,forest ,-0.5, - moved around - ,-6.5,66,1858
1859,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,-7.0,67,1859
1860,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go south,forest,-0.5, - moved around - ,-7.5,68,1860
1861,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,-8.0,69,1861
1862,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,-8.5,70,1862
1863,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,-9.0,71,1863
1864,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed ,go east,forest path,-0.5, - moved around - ,-9.5,72,1864
1865,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,read path with forest,how does one look through a forest,-1.0,,-10.5,73,1865
1866,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed ,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,-11.0,74,1866
1867,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go east,forest,-0.5, - moved around - ,-11.5,75,1867
1868,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest path,-0.5, - moved around - ,-12.0,76,1868
1869,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,-12.5,77,1869
1870,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go south,forest,-0.5, - moved around - ,-13.0,78,1870
1871,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed ,go west,forest ,-0.5, - moved around - ,-13.5,79,1871
1872,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go east,forest path,-0.5, - moved around - ,-14.0,80,1872
1873,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed ,go east,forest,-0.5, - moved around - ,-14.5,81,1873
1874,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest path,-0.5, - moved around - ,-15.0,82,1874
1875,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,-15.5,83,1875
1876,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed ,go south,forest,-0.5, - moved around - ,-16.0,84,1876
1877,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed ,go west,forest,-0.5, - moved around - ,-16.5,85,1877
1878,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go south,forest,-0.5, - moved around - ,-17.0,86,1878
1879,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,-17.5,87,1879
1880,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,-18.0,88,1880
1881,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go south,forest path,-0.5, - moved around - ,-18.5,89,1881
1882,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,-19.0,90,1882
1883,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed ,go south,forest,-0.5, - moved around - ,-19.5,91,1883
1884,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,-20.0,92,1884
1885,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed ,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,-20.5,93,1885
1886,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go east,forest,-0.5, - moved around - ,-21.0,94,1886
1887,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest path,-0.5, - moved around - ,-21.5,95,1887
1888,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go up,up a tree,1.5, new area score ---up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are empty-handed - moved around - ,-20.0,96,1888
1889,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are empty-handed,you are empty-handed ,go down,forest path,-0.5, - moved around - ,-20.5,97,1889
1890,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed ,go east,forest,-0.5, - moved around - ,-21.0,98,1890
1891,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed ,go west,forest path,-0.5, - moved around - ,-21.5,99,1891
1892,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed ,go up,up a tree,-0.5, - moved around - ,-22.0,100,1892
1893,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are empty-handed,you are empty-handed,go down,forest path,-0.5, - moved around - ,-22.5,101,1893
1894,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed ,go up,up a tree,-0.5, - moved around - ,-23.0,102,1894
1895,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are empty-handed,you are empty-handed,go down,forest path,-0.5, - moved around - ,-23.5,103,1895
1896,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,-24.0,104,1896
1897,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed ,go east,forest path,-0.5, - moved around - ,-24.5,105,1897
1898,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,-25.0,106,1898
1899,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go east,forest path,-0.5, - moved around - ,-25.5,107,1899
1900,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go south,north of house,-0.5, - moved around - ,-26.0,108,1900
1901,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed,you are empty-handed,pour path from windows,you're not carrying the way,-1.0,,-27.0,109,1901
1902,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed,you are empty-handed,go north,forest path,-0.5, - moved around - ,-27.5,110,1902
1903,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,-28.0,111,1903
